Ecoregion	Site	S	Low	High			
Webbnesia	145	9.66	6.24	13.09			
Webbnesia	146	9.69	6.26	13.12			
Webbnesia	147	9.72	6.28	13.15			
Webbnesia	148	9.75	6.31	13.19			
Webbnesia	149	9.77	6.33	13.22			
Webbnesia	150	9.8	6.35	13.25			
Webbnesia	151	9.83	6.38	13.28			
Webbnesia	152	9.86	6.4	13.31			
Webbnesia	153	9.88	6.42	13.35			
Webbnesia	154	9.91	6.44	13.38			
Webbnesia	155	9.94	6.47	13.41			
Webbnesia	156	9.97	6.49	13.44			
Webbnesia	157	9.99	6.51	13.47			
Webbnesia	158	10.02	6.53	13.5			
Webbnesia	159	10.05	6.56	13.54			
Webbnesia	160	10.07	6.58	13.57			
Webbnesia	161	10.1	6.6	13.6			
Webbnesia	162	10.13	6.62	13.63			
Webbnesia	163	10.15	6.64	13.66			
Webbnesia	164	10.18	6.67	13.69			
Webbnesia	165	10.2	6.69	13.72			
Webbnesia	166	10.23	6.71	13.75			
Webbnesia	167	10.26	6.73	13.78			
Webbnesia	168	10.28	6.75	13.82			
Webbnesia	169	10.31	6.77	13.85			
Webbnesia	170	10.33	6.79	13.88			
Webbnesia	171	10.36	6.81	13.91			
Webbnesia	172	10.39	6.83	13.94			
Webbnesia	173	10.41	6.85	13.97			
Webbnesia	174	10.44	6.87	14			
Webbnesia	175	10.46	6.89	14.03			
Webbnesia	176	10.49	6.91	14.06			
Webbnesia	177	10.51	6.93	14.09			
Webbnesia	178	10.54	6.95	14.12			
Webbnesia	179	10.56	6.97	14.15			
Webbnesia	180	10.59	6.99	14.18			
Webbnesia	181	10.61	7.01	14.21			
Webbnesia	182	10.64	7.03	14.24			
Webbnesia	183	10.66	7.05	14.27			
Webbnesia	184	10.69	7.07	14.3			
Webbnesia	185	10.71	7.09	14.33			
Webbnesia	186	10.74	7.11	14.36			
Webbnesia	187	10.76	7.13	14.39			
Webbnesia	188	10.79	7.15	14.42			
Webbnesia	189	10.81	7.17	14.45			
Webbnesia	190	10.83	7.19	14.48			
Webbnesia	191	10.86	7.21	14.51			
Webbnesia	192	10.88	7.22	14.54			
Webbnesia	193	10.91	7.24	14.57			
Webbnesia	194	10.93	7.26	14.6			
Webbnesia	195	10.95	7.28	14.63			
Webbnesia	196	10.98	7.3	14.66			
Webbnesia	197	11	7.32	14.69			
Webbnesia	198	11.03	7.33	14.72			
Webbnesia	199	11.05	7.35	14.75			
Webbnesia	200	11.07	7.37	14.78			
Webbnesia	201	11.1	7.39	14.81			
Webbnesia	202	11.12	7.4	14.84			
Webbnesia	203	11.14	7.42	14.86			
Webbnesia	204	11.17	7.44	14.89			
Webbnesia	205	11.19	7.46	14.92			
Webbnesia	206	11.21	7.47	14.95			
Webbnesia	207	11.24	7.49	14.98			
Webbnesia	208	11.26	7.51	15.01			
Webbnesia	209	11.28	7.53	15.04			
Webbnesia	210	11.3	7.54	15.07			
Webbnesia	211	11.33	7.56	15.1			
Webbnesia	212	11.35	7.58	15.12			
Webbnesia	213	11.37	7.59	15.15			
Webbnesia	214	11.4	7.61	15.18			
Webbnesia	215	11.42	7.63	15.21			
Webbnesia	216	11.44	7.64	15.24			
Webbnesia	217	11.46	7.66	15.27			
Webbnesia	218	11.49	7.67	15.3			
Webbnesia	219	11.51	7.69	15.33			
Webbnesia	220	11.53	7.71	15.35			
Webbnesia	221	11.55	7.72	15.38			
Webbnesia	222	11.57	7.74	15.41			
Webbnesia	223	11.6	7.75	15.44			
Webbnesia	224	11.62	7.77	15.47			
Webbnesia	225	11.64	7.78	15.49			
Webbnesia	226	11.66	7.8	15.52			
Webbnesia	227	11.68	7.81	15.55			
Webbnesia	228	11.7	7.83	15.58			
Webbnesia	229	11.73	7.85	15.61			
Webbnesia	230	11.75	7.86	15.64			
Webbnesia	231	11.77	7.87	15.66			
Webbnesia	232	11.79	7.89	15.69			
Webbnesia	233	11.81	7.9	15.72			
Webbnesia	234	11.83	7.92	15.75			
Webbnesia	235	11.85	7.93	15.77			
Webbnesia	236	11.88	7.95	15.8			
Webbnesia	237	11.9	7.96	15.83			
Webbnesia	238	11.92	7.98	15.86			
Webbnesia	239	11.94	7.99	15.89			
Webbnesia	240	11.96	8	15.91			
Webbnesia	241	11.98	8.02	15.94			
Webbnesia	242	12	8.03	15.97			
South European Atlantic Shelf	1	0.01	0.01	0.01			
South European Atlantic Shelf	2	0.03	0.03	0.03			
South European Atlantic Shelf	3	0.04	0.04	0.04			
South European Atlantic Shelf	4	0.06	0.06	0.06			
South European Atlantic Shelf	5	0.07	0.07	0.07			
South European Atlantic Shelf	6	0.09	0.09	0.09			
South European Atlantic Shelf	7	0.1	0.1	0.1			
South European Atlantic Shelf	8	0.12	0.12	0.12			
South European Atlantic Shelf	9	0.13	0.13	0.13			
South European Atlantic Shelf	10	0.15	0.15	0.15			
South European Atlantic Shelf	11	0.16	0.16	0.16			
South European Atlantic Shelf	12	0.18	0.18	0.18			
South European Atlantic Shelf	13	0.19	0.19	0.19			
South European Atlantic Shelf	14	0.21	0.21	0.21			
South European Atlantic Shelf	15	0.22	0.22	0.22			
South European Atlantic Shelf	16	0.24	0.24	0.24			
South European Atlantic Shelf	17	0.25	0.25	0.25			
South European Atlantic Shelf	18	0.26	0.26	0.26			
South European Atlantic Shelf	19	0.28	0.28	0.28			
South European Atlantic Shelf	20	0.29	0.29	0.29			
South European Atlantic Shelf	21	0.31	0.31	0.31			
South European Atlantic Shelf	22	0.32	0.32	0.32			
South European Atlantic Shelf	23	0.34	0.34	0.34			
South European Atlantic Shelf	24	0.35	0.35	0.35			
South European Atlantic Shelf	25	0.37	0.37	0.37			
South European Atlantic Shelf	26	0.38	0.38	0.38			
South European Atlantic Shelf	27	0.4	0.4	0.4			
South European Atlantic Shelf	28	0.41	0.41	0.41			
South European Atlantic Shelf	29	0.43	0.43	0.43			
South European Atlantic Shelf	30	0.44	0.44	0.44			
South European Atlantic Shelf	31	0.46	0.46	0.46			
South European Atlantic Shelf	32	0.47	0.47	0.47			
South European Atlantic Shelf	33	0.49	0.49	0.49			
South European Atlantic Shelf	34	0.5	0.5	0.5			
South European Atlantic Shelf	35	0.51	0.51	0.51			
South European Atlantic Shelf	36	0.53	0.53	0.53			
South European Atlantic Shelf	37	0.54	0.54	0.54			
South European Atlantic Shelf	38	0.56	0.56	0.56			
South European Atlantic Shelf	39	0.57	0.57	0.57			
South European Atlantic Shelf	40	0.59	0.59	0.59			
South European Atlantic Shelf	41	0.6	0.6	0.6			
South European Atlantic Shelf	42	0.62	0.62	0.62			
South European Atlantic Shelf	43	0.63	0.63	0.63			
South European Atlantic Shelf	44	0.65	0.65	0.65			
South European Atlantic Shelf	45	0.66	0.66	0.66			
South European Atlantic Shelf	46	0.68	0.68	0.68			
South European Atlantic Shelf	47	0.69	0.69	0.69			
South European Atlantic Shelf	48	0.71	0.71	0.71			
South European Atlantic Shelf	49	0.72	0.72	0.72			
South European Atlantic Shelf	50	0.74	0.74	0.74			
South European Atlantic Shelf	51	0.75	0.75	0.75			
South European Atlantic Shelf	52	0.76	0.76	0.76			
South European Atlantic Shelf	53	0.78	0.78	0.78			
South European Atlantic Shelf	54	0.79	0.79	0.79			
South European Atlantic Shelf	55	0.81	0.81	0.81			
South European Atlantic Shelf	56	0.82	0.82	0.82			
South European Atlantic Shelf	57	0.84	0.84	0.84			
South European Atlantic Shelf	58	0.85	0.85	0.85			
South European Atlantic Shelf	59	0.87	0.87	0.87			
South European Atlantic Shelf	60	0.88	0.88	0.88			
South European Atlantic Shelf	61	0.9	0.9	0.9			
South European Atlantic Shelf	62	0.91	0.91	0.91			
South European Atlantic Shelf	63	0.93	0.93	0.93			
South European Atlantic Shelf	64	0.94	0.94	0.94			
South European Atlantic Shelf	65	0.96	0.96	0.96			
South European Atlantic Shelf	66	0.97	0.97	0.97			
South European Atlantic Shelf	67	0.99	0.99	0.99			
South European Atlantic Shelf	68	1	1	1			
Celtic Seas	1	0.16	0.04	0.28			
Celtic Seas	2	0.31	0.08	0.54			
Celtic Seas	3	0.46	0.12	0.79			
Celtic Seas	4	0.6	0.16	1.03			
Celtic Seas	5	0.73	0.2	1.26			
Celtic Seas	6	0.87	0.25	1.48			
Celtic Seas	7	0.98	0.3	1.67			
Celtic Seas	8	1.1	0.34	1.86			
Celtic Seas	9	1.21	0.39	2.03			
Celtic Seas	10	1.32	0.44	2.19			
Celtic Seas	11	1.42	0.49	2.34			
Celtic Seas	12	1.51	0.53	2.49			
Celtic Seas	13	1.6	0.58	2.62			
Celtic Seas	14	1.68	0.62	2.74			
Celtic Seas	15	1.75	0.66	2.85			
Celtic Seas	16	1.82	0.7	2.95			
Celtic Seas	17	1.89	0.74	3.04			
Celtic Seas	18	1.95	0.76	3.13			
Celtic Seas	19	2	0.79	3.21			
Cabo Verde	1	0.5	0.18	0.82			
Cabo Verde	2	0.91	0.36	1.45			
Cabo Verde	3	1.24	0.54	1.95			
Cabo Verde	4	1.52	0.7	2.33			
Cabo Verde	5	1.74	0.86	2.61			
Cabo Verde	6	1.92	1.02	2.82			
Cabo Verde	7	2.07	1.16	2.97			
Cabo Verde	8	2.19	1.3	3.08			
Cabo Verde	9	2.29	1.44	3.14			
Cabo Verde	10	2.37	1.56	3.19			
Cabo Verde	11	2.45	1.69	3.21			
Cabo Verde	12	2.51	1.81	3.22			
Cabo Verde	13	2.57	1.93	3.21			
Cabo Verde	14	2.63	2.05	3.2			
Cabo Verde	15	2.68	2.17	3.18			
Cabo Verde	16	2.73	2.29	3.16			
Cabo Verde	17	2.77	2.41	3.14			
Cabo Verde	18	2.82	2.53	3.11			
Cabo Verde	19	2.86	2.65	3.08			
Cabo Verde	20	2.91	2.76	3.05			
Cabo Verde	21	2.95	2.88	3.03			
Cabo Verde	22	3	3	3			
Azores	1	0.88	0.38	1.38			
Azores	2	1.6	0.8	2.4			
Azores	3	2.18	1.22	3.14			
Azores	4	2.64	1.6	3.69			
Azores	5	3.04	1.97	4.12			
Azores	6	3.39	2.31	4.46			
Azores	7	3.68	2.62	4.73			
Azores	8	3.93	2.9	4.96			
Azores	9	4.15	3.14	5.16			
Azores	10	4.34	3.35	5.33			
Azores	11	4.5	3.54	5.47			
Azores	12	4.64	3.69	5.59			
Azores	13	4.76	3.83	5.7			
Azores	14	4.86	3.93	5.78			
Azores	15	4.94	4.02	5.86			
Azores	16	5	4.07	5.93			
Sahelian Upwelling	1	0.2	0	0.4			
Sahelian Upwelling	2	0.4	0.2	0.6			
Sahelian Upwelling	3	0.5	0.3	0.7			
Sahelian Upwelling	4	0.7	0.5	0.9			
Sahelian Upwelling	5	0.8	0.6	1			
Sahelian Upwelling	6	1	0.8	1.2			
